Beginning 12000 episodes of Training
5400 12000 -516.143703704 -519.14 3.72972202301
5500 12000 -516.170181818 -517.6 2.97517299652
5600 12000 -516.140535714 -514.51 3.20539712906
5700 12000 -516.212631579 -520.25 3.83615589142
5800 12000 -516.191206897 -514.97 2.61498904228
5900 12000 -516.199661017 -516.69 3.585064888
6000 12000 -516.231833333 -518.13 3.65725493431
6100 12000 -516.217213115 -515.34 19.8041119576
6200 12000 -516.168709677 -513.21 4.02741599083
6300 12000 -516.205555556 -518.49 3.65995907784
6400 12000 -516.1965625 -515.63 2.7728509903
6500 12000 -516.144 -512.78 3.27446007729
6600 12000 -515.968030303 -504.53 3.08687901497
6700 12000 -515.803432836 -504.94 3.00776195526
6800 12000 -515.792058824 -515.03 3.54171919823
6900 12000 -515.437681159 -491.34 2.60325098038
7000 12000 -515.498142857 -519.67 3.72473812103
7100 12000 -515.523661972 -517.31 3.68063902855
7200 12000 -515.525 -515.62 2.94474315643
7300 12000 -515.286986301 -498.15 24.8464069366
7400 12000 -514.927162162 -488.66 3.84807991982
7500 12000 -514.932 -515.29 2.98077106476
7600 12000 -514.947763158 -516.13 3.33645510674
7700 12000 -514.757922078 -500.33 4.09076714516
7800 12000 -514.496666667 -494.38 2.94338202477
7900 12000 -514.355443038 -503.34 3.06853413582
8000 12000 -513.398625 -437.81 3.35721302032
8100 12000 -512.895061728 -472.61 3.33741688728
8200 12000 -512.127682927 -449.97 2.82130289078
8300 12000 -511.50313253 -460.29 3.73649406433
8400 12000 -510.5175 -428.71 2.44531583786
8500 12000 -509.850823529 -453.85 26.0002849102
8600 12000 -508.943023256 -431.78 3.50917100906
8700 12000 -508.437011494 -464.92 3.88341283798
8800 12000 -507.201363636 -399.7 2.55955505371
8900 12000 -505.920224719 -393.18 3.72731590271
9000 12000 -504.855777778 -410.12 3.5631711483
9100 12000 -503.267252747 -360.3 3.04881310463
9200 12000 -502.116521739 -397.4 3.67257213593
9300 12000 -500.772473118 -377.12 3.51870393753
9400 12000 -499.899893617 -418.75 3.45926904678
9500 12000 -498.046736842 -323.85 2.99702811241
9600 12000 -496.544270833 -353.81 2.74916291237
9700 12000 -494.642886598 -312.11 31.801156044
9800 12000 -492.318877551 -266.89 3.47376489639
9900 12000 -489.905858586 -253.43 2.63936495781
10000 12000 -488.1624 -315.56 3.49649214745
10100 12000 -486.018514851 -271.63 2.16346502304
10200 12000 -483.848235294 -264.65 3.11169505119
10300 12000 -482.316213592 -326.05 2.724807024
10400 12000 -480.476057692 -290.94 2.48170685768
10500 12000 -478.597714286 -283.25 2.32386279106
10600 12000 -476.989811321 -308.16 3.43618798256
10700 12000 -474.889906542 -252.3 2.49704790115
10800 12000 -471.696111111 -129.96 3.2208878994
10900 12000 -469.217155963 -201.49 29.0962312222
11000 12000 -466.901272727 -214.47 3.19836091995
11100 12000 -463.697207207 -111.25 2.3931851387
11200 12000 -461.202410714 -184.28 3.24999809265
11300 12000 -459.344247788 -251.23 2.25166106224
11400 12000 -456.999298246 -192.02 3.03273200989
11500 12000 -454.572086957 -177.87 2.03973388672
11600 12000 -451.477155172 -95.56 2.55844688416
11700 12000 -449.66991453 -240.03 2.215310812
11800 12000 -446.961694915 -130.1 2.28646397591
11900 12000 -444.462773109 -149.59 3.01607203484
12000 12000 -441.541833333 -93.95 1.84556078911
Training Done (turning off epsilon and alpha)
---------------------------------------------
Pacman emerges victorious! Score: 514
Pacman died! Score: -532
Pacman emerges victorious! Score: 527
Pacman emerges victorious! Score: 529
Pacman emerges victorious! Score: 529
Pacman emerges victorious! Score: 529
Pacman emerges victorious! Score: 527
Pacman died! Score: -524
Pacman died! Score: -500
Pacman emerges victorious! Score: 529
Average Score: 212.8
Scores:        514.0, -532.0, 527.0, 529.0, 529.0, 529.0, 527.0, -524.0, -500.0, 529.0
Win Rate:      7/10 (0.70)
Record:        Win, Loss, Win, Win, Win, Win, Win, Loss, Loss, Win
