Beginning 12000 episodes of Training
100 12000 -522.98 -522.98 2.33211088181
200 12000 -521.875 -520.77 3.03797411919
300 12000 -519.646666667 -515.19 2.53262400627
400 12000 -518.52 -515.14 2.69830203056
500 12000 -517.144 -511.64 2.61204910278
600 12000 -516.373333333 -512.52 2.2510330677
700 12000 -516.221428571 -515.31 2.76663303375
800 12000 -516.06625 -514.98 2.46780800819
900 12000 -516.24 -517.63 3.22950601578
1000 12000 -516.462 -518.46 2.64487195015
1100 12000 -516.540909091 -517.33 2.65897202492
1200 12000 -516.581666667 -517.03 3.29870700836
1300 12000 -516.486923077 -515.35 7.24348711967
1400 12000 -516.225714286 -512.83 2.30629205704
1500 12000 -515.924666667 -511.71 2.26930618286
1600 12000 -515.904375 -515.6 3.37028384209
1700 12000 -515.864117647 -515.22 2.5071349144
1800 12000 -515.997777778 -518.27 2.71568512917
1900 12000 -515.957894737 -515.24 2.51684403419
2000 12000 -515.859 -513.98 2.50056409836
2100 12000 -515.81952381 -515.03 2.49436903
2200 12000 -515.775454545 -514.85 3.37371206284
2300 12000 -515.833043478 -517.1 2.66488313675
2400 12000 -516.002083333 -519.89 2.91388702393
2500 12000 -516.0624 -517.51 10.4760742188
2600 12000 -516.121538462 -517.6 2.75023508072
2700 12000 -516.082592593 -515.07 2.5185520649
2800 12000 -515.9175 -511.46 3.35198998451
2900 12000 -515.877586207 -514.76 2.47805285454
3000 12000 -515.866 -515.53 2.53498792648
3100 12000 -515.837741935 -514.99 2.51724720001
3200 12000 -515.8221875 -515.34 2.59865784645
3300 12000 -515.764848485 -513.93 2.46107697487
3400 12000 -515.861764706 -519.06 2.84314012527
3500 12000 -515.881428571 -516.55 3.46880984306
3600 12000 -515.930555556 -517.65 2.7706849575
3700 12000 -515.934594595 -516.08 15.1400139332
3800 12000 -515.866842105 -513.36 2.42472982407
3900 12000 -515.846923077 -515.09 2.54757499695
4000 12000 -515.83125 -515.22 2.58319592476
4100 12000 -515.843414634 -516.33 3.51182889938
4200 12000 -515.812380952 -514.54 2.56375980377
4300 12000 -515.80255814 -515.39 2.81438779831
4400 12000 -515.832045455 -517.1 2.99469089508
4500 12000 -515.838666667 -516.13 3.56195116043
4600 12000 -515.838478261 -515.83 3.63551497459
4700 12000 -515.844893617 -516.14 2.84969091415
4800 12000 -515.945208333 -520.66 3.76684093475
4900 12000 -516.056734694 -521.41 20.3926939964
5000 12000 -516.0308 -514.76 3.32750320435
5100 12000 -516.122941176 -520.73 3.81731987
5200 12000 -516.232307692 -521.81 3.25767183304
5300 12000 -516.087169811 -508.54 3.48333001137
