Beginning 24000 episodes of Training
13000 24000 -512.019461538 -507.31 3.25669193268
13100 24000 -511.958778626 -504.07 2.46407079697
13200 24000 -511.799393939 -490.92 2.45190787315
13300 24000 -511.566992481 -480.89 2.31269288063
13400 24000 -511.496865672 -502.17 3.02919316292
13500 24000 -511.206222222 -472.26 2.34813094139
13600 24000 -511.144044118 -502.75 2.78837704659
13700 24000 -511.177810219 -515.77 2.81441688538
13800 24000 -511.090217391 -499.09 2.09382295609
13900 24000 -510.946402878 -491.1 3.10755181313
14000 24000 -510.889714286 -503.01 2.52929902077
14100 24000 -510.754184397 -491.78 2.85978317261
14200 24000 -510.678521127 -500.01 2.50474095345
14300 24000 -510.643146853 -505.62 3.10347294807
14400 24000 -510.680972222 -516.09 3.61388397217
14500 24000 -510.638068966 -504.46 44.6963050365
14600 24000 -510.574657534 -501.38 2.92579698563
14700 24000 -510.591904762 -513.11 2.57093906403
14800 24000 -510.53527027 -502.21 3.15228891373
14900 24000 -510.575838926 -516.58 2.84894585609
15000 24000 -510.4524 -492.06 2.41912293434
15100 24000 -510.430397351 -507.13 3.93436598778
15200 24000 -510.316118421 -493.06 2.71321105957
15300 24000 -510.343006536 -514.43 3.46740484238
15400 24000 -510.31474026 -505.99 3.18257689476
15500 24000 -510.155870968 -485.69 2.88449597359
15600 24000 -510.184102564 -514.56 3.36817097664
15700 24000 -510.012229299 -483.2 2.5472381115
15800 24000 -510.015063291 -510.46 3.13075518608
15900 24000 -510.034968553 -513.18 2.9607129097
16000 24000 -509.9475 -496.04 3.10278201103
16100 24000 -509.972484472 -513.97 3.54890298843
16200 24000 -509.816481481 -484.7 2.70603513718
16300 24000 -509.728404908 -495.46 3.87329411507
16400 24000 -509.624573171 -492.7 2.71739816666
16500 24000 -509.678424242 -518.51 4.0642220974
16600 24000 -509.624819277 -500.78 2.38867306709
16700 24000 -509.459580838 -482.03 3.5664229393
16800 24000 -509.321309524 -486.23 2.68437314034
16900 24000 -509.265088757 -499.82 44.0774459839
17000 24000 -509.058823529 -474.2 2.5185790062
17100 24000 -509.087192982 -513.91 3.58619403839
17200 24000 -508.980406977 -490.72 2.22596096992
17300 24000 -508.989248555 -510.51 3.01550292969
17400 24000 -508.905 -494.33 2.46307611465
17500 24000 -508.657028571 -465.51 3.71075701714
17600 24000 -508.571875 -493.67 2.42417407036
17700 24000 -508.569378531 -508.13 3.39468002319
17800 24000 -508.491573034 -494.72 3.07913994789
17900 24000 -508.452513966 -501.5 2.42872714996
18000 24000 -508.1435 -452.83 3.19176506996
18100 24000 -508.070773481 -494.98 2.48257017136
18200 24000 -507.925 -481.54 3.0624229908
18300 24000 -507.897486339 -502.89 2.33873009682
18400 24000 -507.826141304 -494.77 3.30157399178
18500 24000 -507.744972973 -492.81 2.49463200569
18600 24000 -507.792741935 -516.63 3.12170290947
18700 24000 -507.59486631 -470.79 2.89520287514
18800 24000 -507.588191489 -506.34 2.83755016327
18900 24000 -507.512116402 -493.21 3.56440711021
19000 24000 -507.402263158 -486.64 2.76273798943
19100 24000 -507.366544503 -500.58 3.31657409668
19200 24000 -507.286979167 -492.09 2.41210198402
19300 24000 -507.196321244 -489.79 43.3781938553
19400 24000 -507.232525773 -514.22 2.61272501945
19500 24000 -507.210051282 -502.85 2.95756006241
19600 24000 -507.184438776 -502.19 2.45206904411
